date,cc_close_m,c_usd_close_m,ret_cc_m,ret_c_usd_m,ret_spread_m,precip_mm,gwetroot,t2m_max,month
2020-12-31,2597.0,2367.6461902856827,-0.015542077331311632,-0.03429906780653669,0.018051238479524195,80.28999999999999,0.6,30.77,2020-12
2021-01-31,2522.0,2371.6815490722656,-0.028879476318829367,0.0017043757649009006,-0.030548782133599617,100.13,0.58,31.41,2021-01
2021-02-28,2558.0,2678.3587551116943,0.014274385408405976,0.12930791916789675,-0.11237283981505428,96.60000000000001,0.53,32.64,2021-02
2021-03-31,2351.0,2327.307680249214,-0.08092259577795158,-0.13106947461481522,0.04744993838919234,126.48,0.54,32.73,2021-03
2021-04-30,2324.0,2198.9674854278564,-0.011484474691620616,-0.05514534924218306,0.04252618073028683,132.3,0.55,31.95,2021-04
2021-05-31,2410.0,2296.744623184204,0.037005163511187655,0.044465022063444826,-0.006544927620688867,137.95000000000002,0.56,31.85,2021-05
2021-06-30,2352.0,2224.529285311699,-0.0240663900414938,-0.03144247607833117,0.006729112469881428,203.4,0.6,30.54,2021-06
2021-07-31,2359.0,2258.032925248146,0.0029761904761904656,0.015061001964625786,-0.011774909999166173,171.11999999999998,0.67,28.59,2021-07
2021-08-31,2574.0,2365.4227699041367,0.0911403136922424,0.04755902513874499,0.04455988298919982,124.93,0.58,29.19,2021-08
2021-09-30,2639.0,2516.1119072437286,0.025252525252525304,0.06370494917730873,-0.03714160418847156,205.8,0.61,29.35,2021-09
2021-10-31,2548.0,2337.841560125351,-0.03448275862068961,-0.07085151761539243,0.03491088847071243,184.45000000000002,0.66,29.79,2021-10
2021-11-30,2320.0,2127.7445147037506,-0.0894819466248038,-0.0898679572666744,-0.0014631501151581155,133.5,0.67,30.61,2021-11
2021-12-31,2539.0,2296.0732526779175,0.09439655172413786,0.07911134857166036,0.01691303142034649,64.17,0.6,31.15,2021-12
2022-01-31,2534.0,2282.597020983696,-0.001969279243796751,-0.005869251635810868,0.0037792042102487043,51.46,0.55,32.85,2022-01
2022-02-28,2503.0,2195.891722679138,-0.01223362273086026,-0.03798537258547363,0.024970146906660086,41.72,0.47,33.7,2022-02
2022-03-31,2648.0,2324.267579317093,0.05793048341989615,0.05846183366515323,0.0006715849486157513,87.42,0.46,34.59,2022-03
2022-04-30,2650.0,2182.4209319353104,0.0007552870090634656,-0.0610285358897702,0.06052807416414944,189.0,0.53,32.96,2022-04
2022-05-31,2499.0,2205.6404304504395,-0.05698113207547173,0.010639330926201618,-0.06740154366904187,228.47,0.63,29.98,2022-05
2022-06-30,2371.0,2057.5531883239746,-0.051220488195278135,-0.06714024647082761,0.014538252422215361,363.90000000000003,0.72,29.72,2022-06
2022-07-31,2328.0,2074.3554725646973,-0.018135807676086024,0.008166148188086142,-0.026133925776198975,105.39999999999999,0.78,28.5,2022-07
2022-08-31,2430.0,2098.7581729888916,0.04381443298969079,0.011763991633518378,0.032292502178921115,78.74,0.65,28.41,2022-08
2022-09-30,2342.0,2166.8715047836304,-0.036213991769547316,0.03245411151763955,-0.06800031388540298,114.0,0.58,29.26,2022-09
2022-10-31,2325.0,2225.2628293037415,-0.0072587532023911105,0.026947294470948124,-0.033651568847299945,205.53,0.59,29.7,2022-10
2022-11-30,2446.0,2555.4334720373154,0.052043010752688135,0.14837377337439306,-0.09327776166962984,155.1,0.62,30.42,2022-11
2022-12-31,2592.0,2486.01459980011,0.05968928863450529,-0.027165204258618902,0.08629553026395653,46.81,0.58,31.73,2022-12
2023-01-31,2577.0,2501.605984568596,-0.0057870370370370905,0.006271638456885942,-0.011929627632266047,27.59,0.48,33.38,2023-01
2023-02-28,2709.0,2535.3404455184937,0.051222351571594826,0.013485121621067409,0.03801470546531454,40.879999999999995,0.46,34.44,2023-02
2023-03-31,2931.0,2674.4128227233887,0.08194905869324476,0.05485353158417894,0.02822421636689447,228.47,0.52,33.04,2023-03
2023-04-30,3178.0,2755.6987899541855,0.08427157966564303,0.030393949109181362,0.05450302919300849,213.0,0.6,31.32,2023-04
2023-05-31,3005.0,2911.826045036316,-0.0544367526746381,0.05665613950671511,-0.10992711170734423,263.5,0.7,30.83,2023-05
2023-06-30,3324.0,3433.7040338516235,0.10615640599001663,0.17922704884961593,-0.06938279197914227,422.7,0.85,29.72,2023-06
2023-07-31,3551.0,3467.9999618530273,0.06829121540312877,0.00998802682563582,0.05850870640395594,176.39000000000001,0.87,29.27,2023-07
2023-08-31,3633.0,3742.352264404297,0.023092086736130613,0.07910966135209452,-0.05438978106503191,48.980000000000004,0.76,28.87,2023-08
2023-09-30,3423.0,3599.19436275959,-0.05780346820809246,-0.038253454386527275,-0.020337132933023895,91.8,0.65,30.03,2023-09
2023-10-31,3820.0,4113.238955497742,0.1159801343850424,0.14282212654501403,-0.02390322422004021,231.26,0.65,30.42,2023-10
2023-11-30,4458.0,4545.3102350234985,0.16701570680628275,0.10504405024858854,0.0641330869650044,174.0,0.68,30.94,2023-11
2023-12-31,4200.0,4464.535624027252,-0.05787348586810226,-0.017770978617442812,-0.04046817035542836,31.62,0.62,32.33,2023-12
2024-01-31,4810.0,4929.667146325111,0.14523809523809517,0.10418362881788035,0.04319819243551963,58.589999999999996,0.53,34.15,2024-01
2024-02-29,6466.0,7048.2461631298065,0.3442827442827443,0.42976106782057677,-0.07663537967126183,23.200000000000003,0.45,35.27,2024-02
2024-03-31,9741.0,10441.58481168747,0.5064955150015467,0.48144440049619885,0.034957516288210255,138.26,0.48,34.8,2024-03
2024-04-30,10050.0,10700.962929725647,0.03172158915922396,0.02484087642977828,0.007391849014961094,105.6,0.49,34.62,2024-04
2024-05-31,9300.0,9476.525264263153,-0.07462686567164178,-0.11442312934859278,0.0374418454068219,202.11999999999998,0.54,32.86,2024-05
2024-06-30,7692.0,9515.92063009739,-0.17290322580645157,0.0041571530424553416,-0.17697483952542747,179.70000000000002,0.59,30.2,2024-06
2024-07-31,8083.0,8250.32144355774,0.050832033281331235,-0.1329980813981103,0.1810934904102183,35.339999999999996,0.54,30.08,2024-07
2024-08-31,9645.0,7354.645269870758,0.19324508227143378,-0.10856257902367783,0.2995738321649277,39.68,0.45,31.04,2024-08
2024-09-30,7736.0,7014.186439990997,-0.19792638672887508,-0.04629167245828891,-0.15258723112632244,69.3,0.42,33.31,2024-09
2024-10-31,7353.0,7576.17001748085,-0.04950879007238884,0.0801209922630135,-0.12798117921574617,463.14,0.6,31.13,2024-10
2024-11-30,8964.0,10072.37162399292,0.219094247246022,0.32948067437141293,-0.10360689466713052,72.30000000000001,0.69,30.74,2024-11
2024-12-31,11545.0,11473.6409689188,0.28792949576082116,0.13912009973777995,0.15167198950767607,63.55,0.58,32.37,2024-12
2025-01-31,10991.0,10698.223684549332,-0.04798614118666089,-0.06758249508329695,0.018205748150482495,35.029999999999994,0.5,32.94,2025-01
2025-02-28,8890.0,9064.909121990204,-0.19115640069147488,-0.15267156592715536,-0.041626268897387436,47.879999999999995,0.47,34.42,2025-02
2025-03-31,7970.0,8019.148964881897,-0.10348706411698538,-0.11536355665954101,0.009502723645894717,97.64999999999999,0.47,33.87,2025-03
2025-04-30,9343.0,8682.14851140976,0.17227101631116692,0.08267704583507851,0.09129516802541766,126.9,0.49,33.44,2025-04
2025-05-31,9757.0,8829.691268920898,0.04431124906347006,0.016993807156977736,0.027667113605537943,164.92000000000002,0.53,32.53,2025-05
2025-06-30,9165.0,8430.74355006218,-0.06067438761914523,-0.04518252186947358,-0.016421560257990082,274.8,0.62,30.87,2025-06
2025-07-31,7349.0,6747.1724762916565,-0.19814511729405349,-0.1996942575436429,-0.0025598524958218294,18.599999999999998,0.58,30.45,2025-07
